name,price,description,photo_url,category_name
سنسور دما,500000,سنسور دقیق برای اندازه‌گیری دما,https://example.com/photo1.jpg,سنسورها
سنسور رطوبت,350000,سنسور رطوبت با دقت بالا,https://example.com/photo2.jpg,سنسورها
سنسور فشار,450000,سنسور فشار برای محیط‌های صنعتی,https://example.com/photo3.jpg,سنسورها
ماژول بلوتوث,250000,ماژول بلوتوث برای ارتباط بی‌سیم,https://example.com/photo4.jpg,ماژول‌های ارتباطی
ماژول وای‌فای,300000,ماژول وای‌فای برای اتصال به شبکه,https://example.com/photo5.jpg,ماژول‌های ارتباطی
میکروکنترلر آردوینو,400000,میکروکنترلر آردوینو برای پروژه‌های الکترونیکی,https://example.com/photo6.jpg,میکروکنترلرها
برد راسپبری پای,1200000,کامپیوتر تک‌بردی راسپبری پای,https://example.com/photo7.jpg,میکروکنترلرها
تعمیر سنسور,200000,تعمیر انواع سنسورها با قطعات اصلی,https://example.com/photo8.jpg,تعمیرات
نصب سیستم کنترل دما,1500000,نصب سیستم هوشمند کنترل دما در منزل و محیط کار,https://example.com/photo9.jpg,خدمات نصب
مشاوره پروژه‌های الکترونیکی,500000,مشاوره تخصصی برای پروژه‌های الکترونیکی و IoT,https://example.com/photo10.jpg,مشاوره
